query_id	cluster_id	cluster_score	cluster_taxopath	taxopath
query_272	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_132	cluster_IV	0.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfatibacillaceae;g__Desulfatibacillum;s__Desulfatibacillum aliphaticivorans
query_15	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
query_352	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota
query_35	DISTANT	None	Unspecified	
query_17	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_74	cluster_IV	0.0	Unspecified	d__Bacteria
query_175	cluster_IV	0.0	Unspecified	d__Bacteria
query_115	DISTANT	None	Unspecified	
query_354	DISTANT	None	Unspecified	
query_216	cluster_IV	0.0	Unspecified	
query_141	cluster_IV	0.0	Unspecified	
query_336	cluster_IV	0.0	Unspecified	d__Archaea
query_248	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_73	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_147	DISTANT	None	Unspecified	
query_25	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_165	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_164	cluster_IV	0.0	Unspecified	
query_304	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_16	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_59	cluster_II	1.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales
query_253	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_109	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_126	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_318	cluster_IV	0.0	Unspecified	
query_68	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_0	cluster_IV	0.0	Unspecified	
query_334	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_325	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_178	DISTANT	None	Unspecified	
query_225	cluster_IV	0.0	Unspecified	
query_29	cluster_IV	0.0	Unspecified	
query_413	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_207	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_3	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus vulcanius
query_215	DISTANT	None	Unspecified	
query_50	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_363	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_235	DISTANT	None	Unspecified	
query_54	cluster_IV	0.0	Unspecified	d__Bacteria
query_80	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_129	DISTANT	None	Unspecified	
query_357	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__UBA206
query_403	DISTANT	None	Unspecified	
query_262	DISTANT	None	Unspecified	
query_40	cluster_IV	0.0	Unspecified	
query_157	cluster_III	1.0	Unspecified	d__Bacteria
query_247	cluster_III	1.0	Unspecified	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Phormidium_A;s__Phormidium_A willei
query_282	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__UBA206;s__
query_346	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_26	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_86	DISTANT	None	Unspecified	
query_154	cluster_IV	0.0	Unspecified	d__Bacteria
query_328	DISTANT	None	Unspecified	
query_19	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales
query_53	DISTANT	None	Unspecified	
query_341	cluster_IV	0.0	Unspecified	
query_58	DISTANT	None	Unspecified	
query_114	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_324	cluster_IV	0.0	Unspecified	
query_369	DISTANT	None	Unspecified	
query_6	DISTANT	None	Unspecified	
query_254	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
query_360	cluster_III	1.0	Unspecified	d__Bacteria
query_393	cluster_IV	0.0	Unspecified	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Oceanotoga;s__Oceanotoga teriensis
query_8	DISTANT	None	Unspecified	
query_56	DISTANT	None	Unspecified	
query_83	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
query_224	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus vannielii
query_257	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_296	DISTANT	None	Unspecified	
query_319	DISTANT	None	Unspecified	
query_103	DISTANT	None	Unspecified	
query_135	DISTANT	None	Unspecified	
query_172	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_186	DISTANT	None	Unspecified	
query_252	DISTANT	None	Unspecified	
query_370	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_139	DISTANT	None	Unspecified	
query_239	cluster_IV	0.0	Unspecified	
query_371	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__SXNM01;s__
query_397	cluster_IV	0.0	Unspecified	
query_14	cluster_II	1.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae
query_36	DISTANT	None	Unspecified	
query_133	cluster_IV	0.0	Unspecified	
query_269	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_351	DISTANT	None	Unspecified	
query_399	DISTANT	None	Unspecified	
query_60	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_226	DISTANT	None	Unspecified	
query_259	DISTANT	None	Unspecified	
query_358	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_395	DISTANT	None	Unspecified	
query_128	DISTANT	None	Unspecified	
query_208	DISTANT	None	Unspecified	
query_234	DISTANT	None	Unspecified	
query_265	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_342	cluster_II	1.0	Unspecified	
query_41	DISTANT	None	Unspecified	
query_306	cluster_IV	0.0	Unspecified	d__Bacteria
query_333	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_375	DISTANT	None	Unspecified	
query_52	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_219	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_267	DISTANT	None	Unspecified	
query_343	DISTANT	None	Unspecified	
query_410	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_31	cluster_IV	0.0	Unspecified	
query_66	DISTANT	None	Unspecified	
query_177	DISTANT	None	Unspecified	
query_418	DISTANT	None	Unspecified	
query_159	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus_A;s__Methanothermococcus_A aeolicus
query_263	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
query_380	DISTANT	None	Unspecified	
query_260	DISTANT	None	Unspecified	
query_415	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_153	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_244	DISTANT	None	Unspecified	
query_274	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_287	DISTANT	None	Unspecified	
query_366	DISTANT	None	Unspecified	
query_387	DISTANT	None	Unspecified	
query_420	DISTANT	None	Unspecified	
query_27	DISTANT	None	Unspecified	
query_122	cluster_IV	0.0	Unspecified	d__Bacteria
query_43	DISTANT	None	Unspecified	
query_108	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalobium;s__Methanohalobium evestigatum
query_179	DISTANT	None	Unspecified	
query_76	DISTANT	None	Unspecified	
query_155	DISTANT	None	Unspecified	
query_278	DISTANT	None	Unspecified	
query_355	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_199	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_312	DISTANT	None	Unspecified	
query_347	DISTANT	None	Unspecified	
query_406	DISTANT	None	Unspecified	
query_87	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_106	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_131	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae
query_195	DISTANT	None	Unspecified	
query_213	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__SXNM01;s__
query_62	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_121	DISTANT	None	Unspecified	
query_150	DISTANT	None	Unspecified	
query_194	DISTANT	None	Unspecified	
query_277	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
query_332	cluster_IV	0.0	Unspecified	d__Bacteria;p__Firmicutes_I;c__Bacilli_A;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus durus
query_321	cluster_IV	0.0	Unspecified	
query_405	DISTANT	None	Unspecified	
query_181	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_82	DISTANT	None	Unspecified	
query_409	DISTANT	None	Unspecified	
query_84	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_187	cluster_IV	0.0	Unspecified	
query_264	DISTANT	None	Unspecified	
query_167	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042
query_149	DISTANT	None	Unspecified	
query_241	DISTANT	None	Unspecified	
query_426	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_10	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_78	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_112	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_204	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_400	cluster_IV	0.0	Unspecified	
query_144	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_349	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales
query_297	DISTANT	None	Unspecified	
query_303	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_91	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_191	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Pelobacteraceae_A;g__Pelobacter_A;s__Pelobacter_A carbinolicus
query_416	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae
query_300	DISTANT	None	Unspecified	
query_379	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_134	DISTANT	None	Unspecified	
query_198	DISTANT	None	Unspecified	
query_315	DISTANT	None	Unspecified	
query_220	DISTANT	None	Unspecified	
query_391	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_45	DISTANT	None	Unspecified	
query_292	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus_A;s__Methanothermococcus_A aeolicus
query_89	DISTANT	None	Unspecified	
query_210	DISTANT	None	Unspecified	
query_290	DISTANT	None	Unspecified	
query_57	cluster_III	1.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales
query_49	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_367	cluster_IV	0.0	Unspecified	
query_396	DISTANT	None	Unspecified	
query_5	cluster_IV	0.0	Unspecified	d__Bacteria
query_344	cluster_IV	0.0	Unspecified	d__Bacteria
query_271	DISTANT	None	Unspecified	
query_348	DISTANT	None	Unspecified	
query_148	DISTANT	None	Unspecified	
query_72	DISTANT	None	Unspecified	
query_209	DISTANT	None	Unspecified	
query_193	DISTANT	None	Unspecified	
query_275	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__SXNM01;s__
query_313	DISTANT	None	Unspecified	
query_353	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_250	DISTANT	None	Unspecified	
query_138	cluster_II	1.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
query_212	DISTANT	None	Unspecified	
query_173	DISTANT	None	Unspecified	
query_63	DISTANT	None	Unspecified	
query_105	DISTANT	None	Unspecified	
query_130	cluster_IV	0.0	Unspecified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__
query_201	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Cohaesibacteraceae;g__Cohaesibacter;s__
query_258	cluster_III	1.0	Unspecified	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae
query_93	DISTANT	None	Unspecified	
query_323	cluster_IV	0.0	Unspecified	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Caminicellaceae;g__Paramaledivibacter;s__Paramaledivibacter caminithermalis
query_70	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_329	DISTANT	None	Unspecified	
query_214	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_374	DISTANT	None	Unspecified	
query_28	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_176	DISTANT	None	Unspecified	
query_205	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus_A;s__Methanocaldococcus_A infernus
query_98	DISTANT	None	Unspecified	
query_276	DISTANT	None	Unspecified	
query_168	DISTANT	None	Unspecified	
